master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s10d_001_067,S10D,001/067,ポケモン,草,ヤンヤンマ,C,F,False
s10d_002_067,S10D,002/067,ポケモン,草,メガヤンマ,U,F,False
s10d_003_067,S10D,003/067,ポケモン,草,リーフィア,U,F,False
s10d_004_067,S10D,004/067,ポケモン,草,シェイミ,U,F,False
s10d_005_067,S10D,005/067,ポケモン,草,チュリネ,C,F,False
s10d_006_067,S10D,006/067,ポケモン,草,ヒスイドレディア,R,F,False
s10d_007_067,S10D,007/067,ポケモン,草,ヒスイドレディアV,RR,F,False
s10d_008_067,S10D,008/067,ポケモン,草,ヒスイドレディアVSTAR,RRR,F,False
s10d_009_067,S10D,009/067,ポケモン,炎,ヒノアラシ,C,F,False
s10d_010_067,S10D,010/067,ポケモン,炎,マグマラシ,C,F,False
s10d_011_067,S10D,011/067,ポケモン,水,ニョロモ,C,F,False
s10d_012_067,S10D,012/067,ポケモン,水,ニョロゾ,C,F,False
s10d_013_067,S10D,013/067,ポケモン,水,ニョロトノ,U,F,False
s10d_014_067,S10D,014/067,ポケモン,水,マンタイン,C,F,False
s10d_015_067,S10D,015/067,ポケモン,水,ミジュマル,C,F,False
s10d_016_067,S10D,016/067,ポケモン,水,フタチマル,C,F,False
s10d_017_067,S10D,017/067,ポケモン,水,コアルヒー,C,F,False
s10d_018_067,S10D,018/067,ポケモン,水,スワンナ,C,F,False
s10d_019_067,S10D,019/067,ポケモン,雷,ラクライ,C,F,False
s10d_020_067,S10D,020/067,ポケモン,雷,ライボルト,U,F,False
s10d_021_067,S10D,021/067,ポケモン,雷,レントラーV,RR,F,False
s10d_022_067,S10D,022/067,ポケモン,雷,レジエレキ,U,F,False
s10d_023_067,S10D,023/067,ポケモン,超,ヒスイバクフーン,R,F,False
s10d_024_067,S10D,024/067,ポケモン,超,クチート,C,F,False
s10d_025_067,S10D,025/067,ポケモン,超,ジラーチV,RR,F,False
s10d_026_067,S10D,026/067,ポケモン,超,フワンテ,C,F,False
