master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s9_001_100,S9,001/100,ポケモン,草,タマタマ,C,F,False
s9_002_100,S9,002/100,ポケモン,草,ナッシー,C,F,False
s9_003_100,S9,003/100,ポケモン,草,キノココ,C,F,False
s9_004_100,S9,004/100,ポケモン,草,キノガッサ,U,F,False
s9_005_100,S9,005/100,ポケモン,草,トロピウス,U,F,False
s9_006_100,S9,006/100,ポケモン,草,ナエトル,C,F,False
s9_007_100,S9,007/100,ポケモン,草,ハヤシガメ,C,F,False
s9_008_100,S9,008/100,ポケモン,草,ドダイトス,R,F,False
s9_009_100,S9,009/100,ポケモン,草,ミノムッチ,C,F,False
s9_010_100,S9,010/100,ポケモン,草,ミノマダム,U,F,False
s9_011_100,S9,011/100,ポケモン,草,ガーメイル,U,F,False
s9_012_100,S9,012/100,ポケモン,草,シェイミV,RR,F,False
s9_013_100,S9,013/100,ポケモン,草,シェイミVSTAR,RRR,F,False
s9_014_100,S9,014/100,ポケモン,炎,リザードンV,RR,F,False
s9_015_100,S9,015/100,ポケモン,炎,リザードンVSTAR,RRR,F,False
s9_016_100,S9,016/100,ポケモン,炎,ブーバー,C,F,False
s9_017_100,S9,017/100,ポケモン,炎,ブーバーン,U,F,False
s9_018_100,S9,018/100,ポケモン,炎,ファイヤー,R,F,False
s9_019_100,S9,019/100,ポケモン,炎,ヒコザル,C,F,False
s9_020_100,S9,020/100,ポケモン,炎,モウカザル,C,F,False
s9_021_100,S9,021/100,ポケモン,炎,ゴウカザル,R,F,False
s9_022_100,S9,022/100,ポケモン,水,ラプラス,U,F,False
s9_023_100,S9,023/100,ポケモン,水,ヘイガニ,C,F,False
s9_024_100,S9,024/100,ポケモン,水,シザリガー,C,F,False
s9_025_100,S9,025/100,ポケモン,水,ポッチャマ,C,F,False
s9_026_100,S9,026/100,ポケモン,水,ポッタイシ,C,F,False
s9_027_100,S9,027/100,ポケモン,水,エンペルト,R,F,False
s9_028_100,S9,028/100,ポケモン,水,ブイゼル,C,F,False
s9_029_100,S9,029/100,ポケモン,水,フローゼル,U,F,False
s9_030_100,S9,030/100,ポケモン,水,ネオラントV,RR,F,False
s9_031_100,S9,031/100,ポケモン,水,マナフィ,U,F,False
s9_032_100,S9,032/100,ポケモン,水,クマシュン,C,F,False
s9_033_100,S9,033/100,ポケモン,水,ツンベアー,U,F,False
s9_034_100,S9,034/100,ポケモン,雷,ライチュウV,RR,F,False
s9_035_100,S9,035/100,ポケモン,雷,エレブー,C,F,False
s9_036_100,S9,036/100,ポケモン,雷,エレキブル,U,F,False
