master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sn_001_024,SN,001/024,ポケモン,雷,ピカチュウV,,F,False
sn_002_024,SN,002/024,ポケモン,雷,エモンガ,,E,False
sn_003_024,SN,003/024,ポケモン,雷,ゼラオラ,,E,False
sn_004_024,SN,004/024,ポケモン,雷,ワンパチ,,E,False
sn_005_024,SN,005/024,ポケモン,雷,パルスワン,,E,False
sn_006_024,SN,006/024,ポケモン,無,ガルーラ,,E,False
sn_007_024,SN,007/024,ポケモン,無,イーブイV,,F,False
sn_008_024,SN,008/024,ポケモン,無,カビゴン,,E,False
sn_009_024,SN,009/024,ポケモン,無,トリミアン,,E,False
sn_010_024,SN,010/024,ポケモン,無,ルチャブル,,F,False
sn_011_024,SN,011/024,ポケモン,無,ウールー,,F,False
sn_012_024,SN,012/024,ポケモン,無,バイウールー,,F,False
sn_013_024,SN,013/024,トレーナーズ,グッズ,エネルギー転送,,F,False
sn_014_024,SN,014/024,トレーナーズ,グッズ,きずぐすり,,F,False
sn_015_024,SN,015/024,トレーナーズ,グッズ,スーパーボール,,F,False
sn_016_024,SN,016/024,トレーナーズ,グッズ,ハイパーボール,,F,False
sn_017_024,SN,017/024,トレーナーズ,グッズ,ポケモンいれかえ,,F,False
sn_018_024,SN,018/024,トレーナーズ,グッズ,ポケモンキャッチャー,,F,False
sn_019_024,SN,019/024,トレーナーズ,グッズ,モンスターボール,,F,False
sn_020_024,SN,020/024,トレーナーズ,サポート,サナ,,E,False
sn_021_024,SN,021/024,トレーナーズ,サポート,ジャッジマン,,E,False
sn_022_024,SN,022/024,トレーナーズ,サポート,ジュン,,F,False
sn_023_024,SN,023/024,トレーナーズ,サポート,博士の研究 ナナカマド博士,,F,False
sn_024_024,SN,024/024,トレーナーズ,サポート,ボスの指令 アカギ,,F,False
sn_LIG,SN,LIG,エネルギー,雷,基本雷エネルギー,,,False
