master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
so_001_030,SO,001/030,ポケモン,炎,リザードンV,,F,
so_002_030,SO,002/030,ポケモン,炎,リザードンVSTAR,,F,
so_003_030,SO,003/030,ポケモン,炎,ロコン,,E,
so_004_030,SO,004/030,ポケモン,炎,キュウコン,,E,
so_005_030,SO,005/030,ポケモン,炎,ガーディ,,E,
so_006_030,SO,006/030,ポケモン,炎,ウインディ,,E,
so_007_030,SO,007/030,ポケモン,炎,ファイヤー,,F,
so_008_030,SO,008/030,ポケモン,炎,エンテイ,,E,
so_009_030,SO,009/030,ポケモン,雷,メリープ,,E,
so_010_030,SO,010/030,ポケモン,雷,モココ,,E,
so_011_030,SO,011/030,ポケモン,雷,ボルトロス,,E,
so_012_030,SO,012/030,ポケモン,雷,エリキテル,,E,
so_013_030,SO,013/030,ポケモン,雷,エレザード,,E,
so_014_030,SO,014/030,ポケモン,雷,ゼラオラ,,E,
so_015_030,SO,015/030,ポケモン,竜,レックウザV,,E,
so_016_030,SO,016/030,ポケモン,竜,レックウザVMAX,,E,
so_017_030,SO,017/030,トレーナーズ,グッズ,エネルギーつけかえ,,F,
so_018_030,SO,018/030,トレーナーズ,グッズ,エネルギー転送,,F,
so_019_030,SO,019/030,トレーナーズ,グッズ,スーパーボール,,F,
so_020_030,SO,020/030,トレーナーズ,グッズ,ハイパーボール,,F,
so_021_030,SO,021/030,トレーナーズ,グッズ,ポケモンいれかえ,,F,
so_022_030,SO,022/030,トレーナーズ,グッズ,レベルボール,,E,
so_023_030,SO,023/030,トレーナーズ,サポート,キャンプファイヤー,,F,
so_024_030,SO,024/030,トレーナーズ,サポート,ジャッジマン,,E,
so_025_030,SO,025/030,トレーナーズ,サポート,ジュン,,F,
so_026_030,SO,026/030,トレーナーズ,サポート,博士の研究 ナナカマド博士,,F,
so_027_030,SO,027/030,トレーナーズ,サポート,ヒガナの決意,,E,
so_028_030,SO,028/030,トレーナーズ,サポート,ボスの指令 アカギ,,F,
so_029_030,SO,029/030,トレーナーズ,スタジアム,嵐の山脈,,E,
so_030_030,SO,030/030,トレーナーズ,スタジアム,マグマの滝壺,,F,
so_FIR,SO,FIR,エネルギー,炎,基本炎エネルギー,,,
so_LIG,SO,LIG,エネルギー,雷,基本雷エネルギー,,,
