master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
spd_001_020,SPD,001/020,ポケモン,水,ヒトデマン,,F,False
spd_002_020,SPD,002/020,ポケモン,水,ネオラントV,,F,False
spd_003_020,SPD,003/020,ポケモン,超,スターミー,,F,False
spd_004_020,SPD,004/020,ポケモン,超,キリンリキ,,F,False
spd_005_020,SPD,005/020,ポケモン,超,デオキシスV,,F,False
spd_006_020,SPD,006/020,ポケモン,超,デオキシスVMAX,,F,False
spd_007_020,SPD,007/020,ポケモン,超,デオキシスVSTAR,,F,False
spd_008_020,SPD,008/020,ポケモン,超,クレセリア,,E,False
spd_009_020,SPD,009/020,トレーナーズ,ポケモンのどうぐ,霧の水晶,,E,False
spd_010_020,SPD,010/020,トレーナーズ,グッズ,ハイパーボール,,F,False
spd_011_020,SPD,011/020,トレーナーズ,グッズ,ポケモンいれかえ,,F,False
spd_012_020,SPD,012/020,トレーナーズ,ポケモンのどうぐ,こだわりベルト,,F,False
spd_013_020,SPD,013/020,トレーナーズ,ポケモンのどうぐ,葉隠れポンチョ,,F,False
spd_014_020,SPD,014/020,トレーナーズ,サポート,クララ,,E,False
spd_015_020,SPD,015/020,トレーナーズ,サポート,サナ,,E,False
spd_016_020,SPD,016/020,トレーナーズ,サポート,ジュン,,F,False
spd_017_020,SPD,017/020,トレーナーズ,サポート,シロナの覇気,,F,False
spd_018_020,SPD,018/020,トレーナーズ,サポート,博士の研究 ナナカマド博士,,F,False
spd_019_020,SPD,019/020,トレーナーズ,サポート,冒険家の発見,,E,False
spd_020_020,SPD,020/020,トレーナーズ,サポート,ボスの指令 アカギ,,F,False
spd_PSY,SPD,PSY,エネルギー,超,基本超エネルギー,,,False
