market,link,price,name,date,datetime,stock
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-09,2023-02-09 12:52:18,1.0
magi,/items/1707113553,366666.0,チャンピオンズフェス,2023-02-09,2023-02-09 12:52:18,1.0
magi,/items/1707113553,366666.0,チャンピオンズフェス,2023-02-08,2023-02-08 12:46:52,1.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-08,2023-02-08 12:46:52,1.0
magi,/items/1707113553,366666.0,チャンピオンズフェス,2023-02-07,2023-02-07 12:54:23,1.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-07,2023-02-07 12:54:23,1.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-06,2023-02-06 12:46:54,1.0
magi,/items/1865634893,48000.0,　チャンピオンズフェ,2023-02-06,2023-02-06 12:46:54,1.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-05,2023-02-05 12:55:12,1.0
magi,/items/1865634893,48000.0,　チャンピオンズフェ,2023-02-05,2023-02-05 12:55:12,1.0
cardrush,https://www.cardrush-pokemon.jp/product/36814,148000.0,チャンピオンズフェス,2023-02-05,2023-02-05 12:55:09,2.0
magi,/items/1865634893,48000.0,　チャンピオンズフェ,2023-02-04,2023-02-04 14:01:25,1.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-04,2023-02-04 14:01:25,1.0
cardrush,https://www.cardrush-pokemon.jp/product/36814,148000.0,チャンピオンズフェス,2023-02-04,2023-02-04 14:01:23,2.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-03,2023-02-03 12:47:44,1.0
magi,/items/1865634893,48000.0,　チャンピオンズフェ,2023-02-03,2023-02-03 12:47:44,1.0
cardrush,https://www.cardrush-pokemon.jp/product/36814,148000.0,チャンピオンズフェス,2023-02-03,2023-02-03 12:47:40,2.0
magi,/items/87486673,97800.0,チャンピオンズフェス,2023-02-02,2023-02-02 14:02:36,1.0
magi,/items/1865634893,48000.0,　チャンピオンズフェ,2023-02-02,2023-02-02 14:02:36,1.0
magi,/items/680570540,108000.0,チャンピオンズフェス,2023-02-02,2023-02-02 14:02:36,1.0
cardrush,https://www.cardrush-pokemon.jp/product/36814,148000.0,チャンピオンズフェス,2023-02-02,2023-02-02 14:02:32,2.0
