market,link,price,name,date,datetime,stock
magi,/items/453678574,12999,【美品【ミュウツーV,2022-11-01,2022-11-01 12:41:17,1
magi,/items/1659024169,12900,【美品・追跡付き】ミ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/1758882248,9639,〔状態A-〕ミュウツ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/578570080,8379,〔状態B〕ミュウツー,2022-11-01,2022-11-01 12:41:17,1
magi,/items/937067760,15000,ミュウツーV SR ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/472324060,10980,ミュウツーV 074,2022-11-01,2022-11-01 12:41:17,1
magi,/items/1557189067,8800,（微キズ）ミュウツー,2022-11-01,2022-11-01 12:41:17,1
magi,/items/1913280361,11111,ミュウツーV SR ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/128643139,11800,ミュウツーV SR ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/1714024262,9500,ミュウツーV SR ,2022-11-01,2022-11-01 12:41:17,1
magi,/items/485953726,10479,ミュウツーV(SA),2022-11-01,2022-11-01 12:41:17,1
magi,/items/2093165503,12888,ミュウツーV SR ,2022-11-01,2022-11-01 12:41:17,1
