market,link,price,name,date,datetime,stock
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-31,2022-12-31 08:07:22,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-31,2022-12-31 08:07:19,231
cardrush,https://www.cardrush-pokemon.jp/product/33674,120,ボスの指令アカギ02,2022-12-31,2022-12-31 08:07:19,2
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-30,2022-12-30 08:01:34,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-30,2022-12-30 08:01:31,234
cardrush,https://www.cardrush-pokemon.jp/product/33674,120,ボスの指令アカギ02,2022-12-30,2022-12-30 08:01:31,2
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-29,2022-12-29 07:54:57,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-29,2022-12-29 07:54:55,242
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-28,2022-12-28 08:03:54,1
cardrush,https://www.cardrush-pokemon.jp/product/33674,120,ボスの指令アカギ02,2022-12-28,2022-12-28 08:03:52,2
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-28,2022-12-28 08:03:52,242
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-27,2022-12-27 08:02:48,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-27,2022-12-27 08:02:45,246
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-26,2022-12-26 07:58:50,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-26,2022-12-26 07:58:47,255
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-25,2022-12-25 07:57:42,1
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-25,2022-12-25 07:57:40,255
magi,/items/1993626417,360,【3枚】ボスの指令[,2022-12-24,2022-12-24 07:56:53,1
cardrush,https://www.cardrush-pokemon.jp/product/33674,120,ボスの指令アカギ02,2022-12-24,2022-12-24 07:56:50,7
cardrush,https://www.cardrush-pokemon.jp/product/36325,180,ボスの指令アカギ02,2022-12-24,2022-12-24 07:56:50,255
