market,link,price,name,date,datetime,stock
magi,/items/1094635800,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/898532084,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/666615629,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1567172508,120.0,2枚目以降100円引,2023-02-20,2023-02-20 11:38:55,1.0
magi,/items/1239628137,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1572174284,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/829760256,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1573922986,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1967390719,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1390066538,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/318060769,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1443025753,20.0,8枚セット/FIR ,2023-02-20,2023-02-20 11:38:55,8.0
magi,/items/1083367448,120.0,2枚目以降100円引,2023-02-20,2023-02-20 11:38:55,1.0
hareruya2,https://www.hareruya2.com/product/20955,50.0,基本炎エネルギー:後,2023-02-20,2023-02-20 11:38:53,1.0
hareruya2,https://www.hareruya2.com/product/22005,50.0,基本炎エネルギー:後,2023-02-20,2023-02-20 11:38:53,12.0
hareruya2,https://www.hareruya2.com/product/26890,50.0,基本炎エネルギー(D,2023-02-20,2023-02-20 11:38:53,45.0
hareruya2,https://www.hareruya2.com/product/17579,50.0,基本炎エネルギー:前,2023-02-20,2023-02-20 11:38:53,8.0
hareruya2,https://www.hareruya2.com/product/19799,50.0,基本炎エネルギー(-,2023-02-20,2023-02-20 11:38:53,1.0
hareruya2,https://www.hareruya2.com/product/20598,50.0,基本炎エネルギー:2,2023-02-20,2023-02-20 11:38:53,235.0
hareruya2,https://www.hareruya2.com/product/25847,50.0,基本炎エネルギー(-,2023-02-20,2023-02-20 11:38:53,21.0
hareruya2,https://www.hareruya2.com/product/21431,50.0,基本炎エネルギー(C,2023-02-20,2023-02-20 11:38:53,35.0
magi,/items/898532084,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/1094635800,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/666615629,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/1573922986,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/1083367448,120.0,2枚目以降100円引,2023-02-19,2023-02-19 11:41:19,1.0
magi,/items/1443025753,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/1390066538,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/1967390719,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/318060769,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
magi,/items/829760256,20.0,8枚セット/FIR ,2023-02-19,2023-02-19 11:41:19,8.0
